episode,total_reward,normalised_reward,steps,mean_loss,completed_requests,picked_up_requests,avg_wait_until_pickup,avg_excess_ride_time,epsilon,lr,eval_completed_requests,eval_picked_up_requests,eval_avg_wait_until_pickup,eval_avg_excess_ride_time,eval_eval_total_reward,eval_eval_steps
18,364.61203658370073,1.8230601829185036,200,1.395265712738037,200,200,182.8,109.72135179841234,0.046751269035533,4.9214743184210665e-05,,,,,,
19,360.76719638410043,1.803835981920502,200,1.327988576889038,200,200,208.35,115.57855656848083,0.04654822335025381,4.9114132884718526e-05,,,,,,
20,360.64085917259956,1.803204295862998,200,1.3653669691085815,200,200,195.4,114.71367829915356,0.046345177664974625,4.900757785355515e-05,200.0,200.0,237.55,104.56515539072483,362.37544564503577,200.0
21,359.11489474330125,1.7955744737165062,200,1.3537679862976075,200,200,204.35,117.48200662043526,0.04614213197969543,4.889510491537976e-05,,,,,,
22,361.92096792193985,1.8096048396096993,200,1.3567367362976075,200,200,263.3,116.8430595202298,0.045939086294416245,4.877674238465309e-05,,,,,,
23,365.2134685565663,1.8260673427828313,200,1.3976901769638062,200,200,244.55,111.85924847438217,0.04573604060913706,4.8652520058509286e-05,,,,,,
24,355.6679117266642,1.778339558633321,200,1.5147417831420897,200,200,462.9,142.50268634521012,0.04553299492385787,4.85224692092547e-05,,,,,,
25,364.15156689529306,1.8207578344764652,200,1.5639966678619386,200,200,203.35,107.61545148315878,0.04532994923857868,4.838662257649506e-05,200.0,200.0,206.8,107.96237924607892,364.00397342677456,200.0
26,357.7917086409719,1.7889585432048594,200,1.5338580846786498,200,200,205.35,117.90574861878045,0.04512690355329949,4.824501435889373e-05,,,,,,
27,362.41028749725115,1.8120514374862557,200,1.4926069593429565,200,200,219.95,115.56732081299587,0.044923857868020306,4.8097680205562195e-05,,,,,,
28,361.32909507943725,1.8066454753971863,200,1.4111366367340088,200,200,212.95,118.16560061756074,0.04472081218274112,4.794465720708566e-05,,,,,,
29,362.80827536845993,1.8140413768422996,200,1.3507102632522583,200,200,222.35,118.49600707013018,0.04451776649746193,4.7785983886185676e-05,,,,,,
30,364.23704375291084,1.821185218764554,200,1.5575488996505737,200,200,202.65,113.56833206525586,0.04431472081218274,4.7621700188022204e-05,200.0,200.0,192.05,110.22391970455573,360.8039501072443,200.0
31,360.3886552733811,1.8019432763669057,200,1.3929247951507568,200,200,249.95,115.37098047307353,0.04411167512690355,4.74518474701377e-05,,,,,,
32,363.58064812144045,1.8179032406072022,200,1.4465205192565918,200,200,181.6,112.33637953381275,0.04390862944162437,4.7276468492045606e-05,,,,,,
33,362.02329905399927,1.8101164952699964,200,1.3835156536102295,200,200,194.45,115.65654568600766,0.04370558375634518,4.7095607404465716e-05,,,,,,
34,364.0457104180763,1.8202285520903814,200,1.3883818578720093,200,200,226.6,109.74432885179199,0.043502538071065994,4.6909309738209684e-05,,,,,,
35,358.184846417091,1.790924232085455,200,1.2724531316757202,200,200,190.5,117.91355976585758,0.04329949238578681,4.671762239271872e-05,200.0,200.0,176.65,106.20044903604547,363.3288849576315,200.0
36,359.5732230159305,1.7978661150796527,200,1.407633776664734,200,200,232.7,112.41500681022845,0.04309644670050762,4.65205936242569e-05,,,,,,
37,363.35569732855396,1.8167784866427699,200,1.3378693604469298,200,200,260.85,115.25249018341412,0.04289340101522843,4.6318273033763085e-05,,,,,,
38,364.09777436786334,1.8204888718393166,200,1.2573396587371826,200,200,204.2,109.9369227109655,0.04269035532994924,4.611071155436392e-05,,,,,,
39,364.4067650877122,1.8220338254385609,200,1.2709207677841186,200,200,212.05,117.14525510652324,0.042487309644670054,4.589796143855187e-05,,,,,,
40,361.1870418605758,1.8059352093028789,200,1.2417236351966858,200,200,193.8,115.04536536667099,0.04228426395939087,4.568007624503086e-05,200.0,200.0,220.25,105.20155923314111,363.7449138667188,200.0
41,363.59929098537987,1.8179964549268994,200,1.2812678980827332,200,200,206.2,117.43470038824769,0.04208121827411168,4.545711082523318e-05,,,,,,
42,363.04300299607576,1.8152150149803787,200,1.233136739730835,200,200,217.25,110.09126892034415,0.04187817258883249,4.522912130951089e-05,,,,,,
43,361.38223228745244,1.8069111614372622,200,1.3411710739135743,200,200,230.85,117.08727463529023,0.0416751269035533,4.4996165093005355e-05,,,,,,
44,364.47896843067866,1.8223948421533933,200,1.2864037156105042,200,200,211.65,111.99791256817049,0.041472081218274115,4.475830082119825e-05,,,,,,
